iteration,loss_generator,loss_discriminator,grad_mag_generator,grad_mag_discriminator,mmd_linear_n5000,mmd_poly_n5000,mmd_rbf_n5000
0,3.221092471105292,-10.53419207388145,36.14793086558523,16.197044372558594,54.272059501627204,4070.4076972850926,0.7854658989230802
1,-0.5655756756164685,-10.95049218249431,5.163768098858191,5.771815299987793,,,
2,-0.6042092891134272,-11.55660701498393,8.058248409157564,5.660212993621826,,,
3,-1.2042822705831622,-10.042407791562184,9.292298224251072,22.521303176879883,,,
4,0.2114543442935419,-9.936397438001356,7.475769325551755,6.599295616149902,,,
5,-0.7799583411222333,-9.676798778068417,13.551873804515152,14.465502738952637,,,
6,-1.5468600946634627,-8.838573550370478,13.900746065104256,10.88757038116455,,,
7,-1.8045083978697236,-8.406719908679458,8.541483976424765,14.016948699951172,,,
8,-1.4202595509552676,-8.367934096706364,10.436680571743926,13.044596672058104,,,
9,-0.4057768540981835,-8.371862394028495,9.269755371208609,4.647091388702393,,,
10,-1.5792572845812731,-7.849150010024908,9.964191413065665,12.8556489944458,,,
11,-0.8921653684782448,-8.364811814295454,9.018995940646874,7.380325794219971,,,
12,-1.0270362260930828,-8.354415137214264,5.9645476869954255,13.25019359588623,,,
13,-1.2977476130850931,-8.780917101376238,7.667299473833399,15.228120803833008,,,
14,-1.4311900599647085,-8.134427008549723,9.36985704815694,9.465738296508787,,,
15,-0.4712529267661907,-8.06008340481239,7.111121548815933,13.349614143371582,,,
16,-1.696211079967786,-8.661972055895523,10.938967324130836,7.638689994812012,,,
17,-1.272023722703791,-8.772007365208658,16.53144030553548,4.42233419418335,,,
18,-2.312118843175511,-8.953074149964053,16.98283402598067,21.48568344116211,,,
19,-1.5361524165744185,-8.155717635226843,8.422055756509293,11.957530975341797,,,
20,-3.3564884428541433,-8.60458105212339,14.009085578447914,12.80685329437256,,,
21,-1.0332872919481044,-8.243383390638154,4.486373717113889,20.802337646484375,,,
22,-2.012935207987727,-8.35628724943966,7.855702258409163,5.132400035858154,,,
23,-0.6033964022072198,-7.932417599628817,6.38601413155752,8.423552513122559,,,
24,-2.717197782179154,-7.750109188828299,10.51113260753483,20.159387588500977,,,
25,-2.6227469633011524,-8.250538438282273,8.949233908793884,6.4629034996032715,,,
26,-2.2542202201424675,-7.625821492365381,7.806535998377502,21.652286529541016,,,
27,-2.1793899382692765,-7.870443825134135,10.621051244776009,10.047626495361328,,,
28,-0.5536929461487077,-8.214500073067214,11.313311499218004,22.578418731689453,,,
29,-2.5578331640483287,-7.684869282137431,8.5561232007823,10.084333419799805,,,
30,-0.9575518296483942,-8.152351577189501,6.909259519643092,19.75493431091309,,,
31,-2.888624995268476,-8.304958974620082,10.117943462686725,10.925037384033203,,,
32,-3.3841878516479698,-8.805029990116692,11.679808290143374,8.971739768981934,,,
33,-2.590248534825432,-8.338476950951321,10.09112760842842,12.674423217773438,,,
34,-1.4513608086875351,-7.868209082054689,9.371443874561177,15.155092239379885,,,
35,-1.8195057903477931,-7.710562331324619,9.008042187748746,22.333070755004883,,,
36,-2.859193079683343,-7.724680723836274,5.85884126700571,6.382328510284424,,,
37,-0.789525070700377,-7.68435260356635,5.893268205201821,33.58971405029297,,,
38,-2.5825570316629394,-8.063459931778564,6.77104862042021,8.946088790893555,,,
39,-2.1317543878466347,-7.985038593390764,8.690774536902365,20.019611358642575,,,
40,-3.584944308364576,-8.641029933112225,12.76197413955022,10.22010612487793,,,
41,-3.152150768678246,-8.866831621552016,13.302983376383873,16.246246337890625,,,
42,-2.1296175476414385,-8.117066540438568,5.392614186323469,5.470554351806641,,,
43,-1.2153034370145357,-7.95219752680407,5.543874986646824,17.93437385559082,,,
44,-2.766418594174867,-8.248853925021733,5.913470038070809,13.917720794677734,,,
45,-1.819320924249639,-8.095279606126525,6.238274751844321,14.365100860595703,,,
46,-2.4030888290616277,-8.035938928753898,6.219797111142158,6.441874980926514,,,
47,-3.4436124651771953,-8.05129883465131,13.406796941757932,15.922443389892578,,,
48,-2.898298477176695,-8.66640118836675,11.53660718289212,12.733436584472656,,,
49,-2.0509856639949176,-8.04413577416602,7.645724082579962,8.540934562683105,,,
50,-2.0818954965191496,-7.9011480582315246,5.901255906118405,11.042030334472656,,,
51,-2.0829524937195982,-6.885479268247073,7.583352349930459,27.99174118041992,,,
52,-3.096838308267439,-7.496785232051475,7.316011616606024,19.249412536621097,,,
53,-2.8943928274152,-8.502032066905288,8.756675555066694,8.872797012329102,,,
