iteration,loss_generator,loss_discriminator,grad_mag_generator,grad_mag_discriminator,mmd_linear_n5000,mmd_poly_n5000,mmd_rbf_n5000
0,0.8170766687625632,-0.5137481747462367,8.056373012243185,14.388134956359863,99.75043253229012,44482.61691046219,1.0000143682273948
1,1.8785055444151055,-4.378624131053768,26.002693548578534,12.797670364379885,,,
2,4.128158781994799,-9.041007328761896,271.0144826133426,11.848306655883787,,,
3,0.7199070198039379,-8.651428404305328,63.67500950512344,10.501710891723633,,,
4,0.0426612104930955,-8.813387422623968,48.897848986016065,10.880670547485352,,,
5,-1.5912076557175086,-9.62114558989405,25.29804463297115,7.060263156890869,,,
6,0.7915460194340211,-10.069501988038224,19.66320427902919,10.789691925048828,,,
7,-1.157532289732686,-10.663327429980164,22.586013206578595,9.358433723449709,,,
8,0.6774486644945736,-9.894889272680278,22.05399460412399,9.041884422302246,,,
9,-1.1454898016248456,-10.948541936726244,47.746274512564845,8.318401336669922,,,
10,-0.5624967449318725,-10.627713938235884,21.156795047128927,13.836442947387695,,,
11,0.0648919732087565,-10.160432803155274,37.71944905299113,7.181487560272217,,,
12,-2.745032446512308,-11.29828812253535,38.05780460889158,8.624225616455078,,,
13,-0.2717187236814916,-10.048146505960275,31.59918156661532,11.40668773651123,,,
14,-0.7916463733203022,-10.397505200944789,36.1636753003255,7.2224931716918945,,,
15,-0.4748343721167508,-11.417935508529611,114.14328570957464,5.658746719360352,,,
16,0.4860228173705644,-9.677410669706113,33.69170423154553,7.465710163116455,,,
17,-2.426675772767242,-10.417825737822463,27.76240814851465,11.284015655517578,,,
18,-0.157781582326194,-10.101593320523984,30.933555816067805,6.539823532104492,,,
19,1.1007617439465176,-9.942619446860377,29.03047234418832,5.735240936279297,,,
20,1.4028974579319913,-8.825008851345379,27.008043230359505,5.550581455230713,,,
21,-1.3040992447110542,-9.1812523804738,23.391162066030464,6.120105266571045,,,
22,-1.9924253647837311,-9.547644822772554,29.9356647696309,5.091662883758545,,,
23,-0.1908020638053404,-9.020012268293211,18.339293593044346,6.480618000030518,,,
24,1.7729185635366842,-8.958102043382649,26.353622433738,7.304788112640381,,,
25,-2.444173449491176,-9.520706745962322,40.143313095056136,6.430858135223389,,,
26,1.1537904434164832,-8.888420318991765,30.830734614531337,5.574434757232666,,,
27,-1.4862687301048585,-9.227716731520928,31.773715921241408,5.237467288970947,,,
28,-0.7455915044443264,-8.332484306708182,19.775908994506732,4.484503269195557,,,
29,-2.2271499210935053,-8.841041151088046,48.166414821511026,9.52675437927246,,,
30,-0.0978113590817131,-7.963779997935755,42.29944382605858,8.381288528442383,,,
31,-3.1601128589534913,-8.31020947137631,54.933838869814025,6.582800388336182,,,
32,-0.5478842354614123,-8.938754325594502,37.10949084568112,5.897130489349365,,,
33,-0.5847210826961602,-7.572296550875506,75.25423301035904,4.698175430297852,,,
34,-2.108118166285121,-8.44867677170475,81.90041248632221,5.208316802978516,,,
35,1.3627207916788144,-8.287891397263966,82.07806026051365,7.30703592300415,,,
36,-1.3985035087368776,-7.764982855196565,61.53014706923678,6.775315761566162,,,
37,1.3910042438405916,-6.985118377959281,38.68478215822532,5.532264709472656,,,
38,-2.361597574302713,-7.469833743098182,40.214219381289006,8.241439819335938,,,
39,-0.911762460648635,-7.4090082468548895,33.349673151106266,7.481597423553467,,,
40,1.1448690335397025,-7.523731367382075,26.234407549240455,5.924020290374756,,,
41,-0.1119075815227405,-7.825107343696181,27.67198639993451,8.585113525390625,,,
42,-2.1166279369407457,-7.129949400966719,49.629653371787235,4.68573522567749,,,
43,2.8892135760276627,-7.524097001971615,66.83179867531273,8.345338821411133,,,
44,-3.466151775994655,-7.323406009678165,54.53540685499058,6.265522003173828,,,
45,-0.5472022139269347,-6.879698770260116,37.0566750561522,8.132210731506348,,,
46,-1.6220796302986529,-7.145217276109854,19.042092672806465,5.345196723937988,,,
47,-1.302748648877011,-7.322965727775883,24.18896018830553,5.642592906951904,,,
48,-0.6055400859115236,-6.676477468542672,25.106329976727007,6.317622661590576,,,
49,-0.205401943416258,-6.978428339530805,25.08351394736862,5.783985614776611,,,
50,-3.757383874481427,-7.142977014069851,63.83006499747374,6.50269889831543,,,
51,0.8018612148086393,-6.742334895364637,55.12613016689899,7.999377727508545,,,
52,-0.2703839661043354,-6.142909014356337,28.721920986791385,6.097967624664307,,,
53,-3.4353027429318166,-6.354477552342303,45.422547564748776,8.347101211547852,,,
54,-0.4535643773577698,-6.347352982390772,41.13900035070775,8.281890869140625,,,
55,-2.1034408616952005,-6.8163307447201955,30.188812389131307,5.615435600280762,,,
56,-0.642008785946373,-7.04388925611287,26.00816052279714,17.02853012084961,,,
