iteration,loss_generator,loss_discriminator,grad_mag_generator,grad_mag_discriminator,mmd_linear_n5000,mmd_poly_n5000,mmd_rbf_n5000
0,14.443323973718556,-11.37553523269074,26.26064025082786,92.90032958984376,212.88454338295955,91331.2651724313,0.0038181289559860946
1,25.391103287604995,-18.745180828436588,49.87664032038841,17.37660789489746,,,
2,16.826084312789558,-16.19562069780858,38.48872725579229,9.7764892578125,,,
3,18.183520399854345,-14.502653240781164,36.45913983133128,18.03150177001953,,,
4,8.235081286610491,-11.840941236920962,23.62880848520078,11.453763008117676,,,
5,6.5287505730949205,-10.115539312348837,21.842004378476616,33.60420227050781,,,
6,6.856436677678613,-10.974524952905682,12.82237183251954,18.302953720092773,,,
7,5.297924278657529,-9.905667907214706,9.3571207338601,26.15380859375,,,
8,3.2230486835344214,-9.797173488612602,10.719576035138076,18.12334251403809,,,
9,3.217062902560851,-9.342146994707,10.961487512374504,9.503934860229492,,,
10,4.882851265597096,-9.255309884892378,10.774333235018442,24.55815315246582,,,
11,3.6630317119555063,-9.643996406391707,7.156193372063179,10.241387367248535,,,
12,1.548367556521872,-9.549693602556804,9.983395524160718,7.896546363830566,,,
13,1.7125398235431064,-8.918183844039703,7.659431463164873,9.712669372558594,,,
14,2.7457140856097473,-8.415709867107191,8.443663259000198,17.479259490966797,,,
15,1.1760135571429726,-9.465976187187898,9.680758049156871,11.824050903320312,,,
16,5.168683733270068,-9.932899601082797,11.044890328210396,7.156203746795654,,,
17,5.08356624591073,-9.233637283071864,10.798419820873027,5.700465679168701,,,
18,1.5070627795090217,-8.97954727107238,9.363576505365383,6.125812530517578,,,
19,1.487054679178072,-8.474856295099908,9.614738253196132,6.495954990386963,,,
20,2.093914403644625,-8.380753813017712,17.907204998309933,7.422354221343994,,,
21,2.882957203399025,-9.05881526624535,14.369683902145708,8.010379791259766,,,
22,1.6241290803019863,-8.381938012412188,16.110921456943963,14.342940330505373,,,
23,1.573982702617624,-8.845807607388029,15.382058626327565,12.28700828552246,,,
24,1.3858672963488403,-8.480465015173461,9.330071519596284,10.76209831237793,,,
25,1.6087327334434027,-8.545571335969449,10.717348247582434,8.24079704284668,,,
26,2.2526745312496157,-7.9022300228904,9.50646428505951,18.58930778503418,,,
27,0.6418324662057595,-8.194906920309856,10.935022931398594,9.696887969970703,,,
28,2.0326157392343385,-8.750332250871455,12.732550494081764,6.926438808441162,,,
29,0.2326912724730096,-8.47194783164052,13.157954620229097,4.992307662963867,,,
30,1.4291329320135118,-8.295583938236161,10.47032092404902,13.607479095458984,,,
31,2.1108167511499474,-8.572921064519072,7.9684467103070675,8.715118408203125,,,
32,1.3065161656851272,-8.974157493540652,6.404919631724618,4.3727312088012695,,,
33,-0.0639396865769961,-8.734846713484616,11.481773255284622,10.599187850952148,,,
34,3.967094894437032,-8.82093781131356,21.033355856963905,4.966434955596924,,,
35,3.732653752266124,-9.608724836389882,22.338067739386677,7.612831115722656,,,
36,1.2526803640175976,-8.93286228923861,11.707761280775005,18.55204963684082,,,
37,0.207514003307015,-8.326454013668997,11.388773394408652,13.333500862121582,,,
38,1.6621159914462518,-8.188534251801213,7.499094339898986,6.800596237182617,,,
39,0.4307424308780079,-8.21949782163977,9.246260552898962,6.115335941314697,,,
40,-0.8858966563880217,-8.480059832422013,7.410703376375643,14.380537986755373,,,
41,2.6227195741517506,-8.330477842662917,13.86363524853273,12.402547836303713,,,
42,0.1675004428752522,-8.651322812805653,20.74905041528937,5.698354721069336,,,
43,5.71793975949449,-9.064252616029147,28.63224254399538,5.501042366027832,,,
44,0.2084264151646354,-9.15067608567675,15.99578095571443,10.88161849975586,,,
45,-0.056660716509316,-8.196085898590868,16.021808546183564,13.226621627807615,,,
46,3.5707109376956208,-8.650173834340011,19.97907204351582,7.055453300476074,,,
47,-0.3355585517392385,-8.385861824253592,12.792242684477747,4.9791951179504395,,,
48,0.5531468081752806,-8.298973905222107,7.579619947221994,6.41932487487793,,,
49,1.0252291164923046,-8.015918839691405,6.287327650210228,5.547623157501221,,,
50,0.5223467147440843,-7.762823387955569,7.060009820176186,6.245352745056152,,,
51,1.3166633902672014,-7.781885713339904,9.125723230388276,13.046551704406738,,,
52,-1.0776507593582465,-7.974436221474343,20.167296588088146,15.4752197265625,,,
53,2.9179163369700536,-8.744087428792476,21.51510033996496,7.367988109588623,,,
54,0.467200875852259,-8.492673133405376,14.08915201636364,12.792927742004396,,,
55,0.9840633173000248,-8.315176947161472,10.314013392694768,8.205792427062988,,,
56,1.481120799581709,-8.033650543000155,11.3525794942202,11.655184745788574,,,
57,-0.0365728564668229,-8.349818306568151,13.88942746666736,6.362224578857422,,,
58,1.215176937830944,-7.5909543571732785,13.748321177633844,10.246030807495115,,,
59,-0.5148660991846314,-8.13169526900075,14.713536259839788,10.085423469543455,,,
60,1.8641756279420736,-7.71287184153155,18.76575320512901,7.691896915435791,,,
61,0.1275948242322576,-8.329108130463194,13.97285364986756,14.293822288513184,,,
62,-0.7175698398684576,-8.18226338404131,9.98296292338199,5.43887996673584,,,
63,1.3677447376228469,-8.11872537190392,16.215119811004683,5.0335516929626465,,,
64,1.4631216588490137,-8.237391712989501,20.19753715387682,7.139303684234619,,,
65,0.7600690335192677,-7.978447273971417,14.05468805576362,11.073230743408203,,,
66,0.8309329744881708,-7.73434301260465,9.883516603192607,5.5339531898498535,,,
67,1.1455251174233243,-7.716535440123723,10.270655359348602,6.688600540161133,,,
68,-0.7333225194971389,-7.650093991580502,8.919579001514315,11.562655448913574,,,
69,0.725845689194437,-7.980687290410437,13.290707415715053,7.947591781616211,,,
70,-1.171177141596114,-8.12929818811348,17.597786080176803,3.950080633163452,,,
71,2.3042476434586536,-8.018770953059729,16.98564228915727,6.280594825744629,,,
72,-0.6770999954453996,-8.266490622877582,18.386051888649725,5.847364902496338,,,
73,0.2610657753577028,-8.278555377423023,9.228731643674536,4.035588264465332,,,
74,1.8953522242915108,-7.961092617536277,14.2286720000659,6.456840515136719,,,
75,-1.8498007441444475,-8.909239284348425,29.68699130627088,11.590270042419434,,,
76,3.066266898612996,-8.503897093078116,24.655387920459503,7.665390014648437,,,
77,0.5596912742103279,-8.020002539829171,11.910607221801156,17.26658058166504,,,
78,-1.2052578423487723,-8.174942236435157,13.782626232681087,12.22747802734375,,,
79,2.3145578069573176,-8.357511383087953,16.559175716306452,5.874063491821289,,,
80,-0.7221338351503297,-8.171046463745604,16.693625313571115,22.122549057006836,,,
81,2.348288736375007,-7.904112702819372,12.536927942566342,8.227483749389648,,,
82,-0.3017209499392853,-8.045457457393297,6.244660551546756,7.685816287994385,,,
83,-0.7353537589630181,-7.640886883199226,9.714286169432771,16.66779899597168,,,
84,1.0742879948076594,-7.485566870246912,11.660445087808734,7.348026752471924,,,
85,1.3155797292561846,-7.303583915770517,13.053581509524763,21.901735305786133,,,
86,-1.4642695998847288,-7.817472715802939,15.974832121999746,14.553547859191896,,,
87,0.0173454538585321,-8.105345169838815,15.512807747827669,7.6099019050598145,,,
88,0.5624291068105503,-8.018954955657929,11.863099989489198,5.896702289581299,,,
89,0.2309600335623473,-7.621250094881908,7.364006478559243,19.036874771118164,,,
90,-0.95015047275706,-7.25569899696255,12.031320274802216,8.5897798538208,,,
91,-1.1896449746495357,-7.532799859620697,13.091640494322244,5.7654829025268555,,,
92,2.0888246460791584,-8.009366276906889,15.149328097396848,4.806080341339111,,,
93,0.123737010827457,-8.156483598092882,13.14526301650768,17.315486907958984,,,
94,1.5367124679039097,-7.3715419804054045,9.444542738067325,23.18510627746582,,,
95,-0.2953292348954566,-8.0655292485548,9.74299823713773,12.615608215332031,,,
96,-1.1461303044064215,-7.296443528838158,9.80923945738422,12.495060920715332,,,
97,1.3652836580292107,-6.701767335235484,10.69360168410434,22.03523063659668,,,
98,-1.0941808712936154,-7.756387899436037,19.022155504737235,8.133216857910156,,,
99,1.6364845804567645,-8.048330443949801,16.97269648124518,7.362132549285889,,,
100,-1.8610994566663277,-7.1486291617763404,17.226278984492144,19.691247940063477,,,
101,1.5015328499637453,-7.865143021910082,14.748154560842506,8.113126754760742,,,
102,0.541079904416843,-8.024028989675621,11.36107969249247,18.359718322753903,,,
103,0.0698374572403367,-7.741806817213813,8.028710231568581,7.546460151672363,,,
104,-0.2300955734296047,-7.483780594006153,9.078240970786108,8.911073684692383,,,
105,0.0477964975259914,-7.251798315728013,8.565356818890917,4.261581897735596,,,
106,0.7864070028086698,-6.925609250446806,8.952876533714669,12.367923736572266,,,
107,-2.0996174556074485,-7.568823178776842,13.411983356406584,8.6560697555542,,,
108,1.823897258841518,-7.549042123173326,16.539854711228188,7.11019229888916,,,
109,-1.7716760659021276,-7.353007125812286,20.79604746859607,19.574132919311523,,,
110,-0.1367395789384562,-8.031673068949221,12.588896714765797,8.044769287109375,,,
111,1.211709316848115,-7.46784680161436,9.814789125279685,5.413529396057129,,,
112,-0.5740170344345653,-7.939431580671584,15.96842955384126,11.47677230834961,,,
113,3.084712385216424,-7.620623231007915,18.111147527824365,17.483949661254883,,,
114,0.0836412443712794,-7.8260449777750765,16.57049342945995,5.362478256225586,,,
115,-0.873446001550773,-7.621847829463128,8.950839642789473,11.22915744781494,,,
116,2.732650265193775,-7.735584878506152,15.18474615756822,6.455826759338379,,,
117,-1.1361879120729677,-7.513745577669569,19.666418383488523,6.786959171295166,,,
118,2.239821773884855,-7.670709363243231,15.321252870484704,9.86813735961914,,,
119,-0.6358160048202314,-7.611261758147181,12.464757805605624,9.238182067871094,,,
120,0.7226428970179655,-7.045039875381969,6.826039977379143,15.561287879943848,,,
121,-0.3110151809199678,-7.108821364646884,7.54990497324752,15.410367012023926,,,
122,1.1435925081266018,-7.578524306244776,6.690561273423145,7.806565284729004,,,
123,1.4549746774285344,-7.22037967442113,6.873201840928014,9.84399700164795,,,
124,-0.5816058564596631,-7.672380337203993,12.057828542000731,6.4651875495910645,,,
125,1.1795331655074874,-7.166412742643335,10.668092115295016,14.251237869262695,,,
126,-0.6872527230712253,-7.960664661594124,19.77573620897172,5.722199440002441,,,
127,3.516967791337984,-7.406268950955208,17.30366928926655,10.706952095031738,,,
128,-0.3725498537964604,-7.825023276337457,14.322149671368118,10.845869064331056,,,
129,1.2943471912071234,-7.262650311186054,9.063705862735675,5.407673358917236,,,
130,1.340838879425038,-7.306748472747868,11.660240050377451,8.198988914489746,,,
131,0.93327990149932,-7.34825951335506,11.635145105082875,5.3903117179870605,,,
132,0.2582765549162353,-7.110214299969821,10.226228564711638,6.674987316131592,,,
133,0.3044226668980616,-7.159749478517082,7.826239153639674,18.931127548217773,,,
134,1.0544918882659673,-7.057139460790603,8.401821253328473,10.87328052520752,,,
135,1.0557072552585174,-7.219177649952845,8.173967994446443,7.388426303863525,,,
136,-0.4922490201016835,-7.558665240994329,10.999162962938618,4.6213698387146,,,
137,1.9107180648460107,-7.137787670954223,13.48607951701576,14.655652046203612,,,
138,0.2923275581925626,-6.955318717021198,13.910795476493815,12.738295555114746,,,
139,0.9960613339954806,-7.961247269716773,10.35023099492972,7.7807393074035645,,,
140,0.8709394396738568,-7.699997937293166,7.653676933321224,5.252330780029297,,,
141,-1.6636846286285158,-7.776812495364639,14.793009545684454,6.7325310707092285,,,
142,3.001530829833518,-7.799018195959648,18.3995309949512,6.685481071472168,,,
143,-0.5074762012385059,-7.9353217132402225,18.91696960133828,7.811319828033447,,,
144,1.674072110274076,-7.201120095282072,11.545418019651024,11.67510223388672,,,
145,-0.1952285426522882,-7.299806336223487,8.67497654673977,7.173810958862305,,,
146,1.1692967881310583,-7.167183327706729,5.7895535274858325,8.34914493560791,,,
147,-0.6256102490030313,-7.143486035066857,10.192695969515931,5.288046836853027,,,
148,1.5196727642844985,-7.424643155163517,12.559657687659392,9.431715965270996,,,
149,1.079101929409902,-7.591693167847469,10.326585821943338,5.427391529083252,,,
150,0.6936796608920908,-7.421669892723025,11.646850376857962,8.36960220336914,,,
151,0.8232712987108837,-7.506351826387267,13.008483981983703,4.86297082901001,,,
152,-0.8411443641638459,-8.156718166848707,16.664826174797625,12.590641021728516,,,
153,3.532171546915736,-7.52230753494333,18.7538687220961,9.409979820251465,,,
154,0.0395303774880816,-7.89108429800052,12.084416136564457,6.270156383514404,,,
155,2.1653760258212076,-7.199807391407928,8.54405361847362,9.706964492797852,,,
156,1.3303473511748232,-8.000073464405064,21.336608284711804,6.112810134887695,,,
157,-0.3898568891371761,-6.88053791569966,8.660144968732855,8.780399322509766,,,
158,0.2660710971283115,-7.50530677353514,10.776508161066172,10.574543952941896,,,
159,1.3921472975915825,-7.429460808942963,6.625938961927814,12.670477867126465,,,
160,0.841674772638886,-7.523328950548159,13.145340640307662,9.25167465209961,,,
161,3.86076465354225,-7.761990455533821,24.10586412717917,4.932319641113281,,,
162,-0.7132819180239816,-7.915763725430838,21.161047252130345,11.46611499786377,,,
163,-0.4929328040656711,-7.684412980647776,16.710374888770513,6.396822452545166,,,
164,3.918501512834133,-7.940377563690654,21.633251793313768,8.422836303710938,,,
165,0.9071617805905956,-7.651433489491671,10.445416926640783,7.609015941619873,,,
166,0.7149926421539847,-7.700392292169777,10.501539099581857,4.788299083709717,,,
167,1.2383145097444874,-7.590553304950235,6.599889153498667,8.516850471496582,,,
168,1.264201090977776,-7.385877812137234,8.366331121495756,7.231937408447266,,,
169,-0.2205772875544072,-7.451956683262642,10.996964649076908,5.780967712402344,,,
170,1.3665561218413789,-6.970639377184812,9.766004110791611,7.838351249694824,,,
171,0.6912226247143578,-7.26898122896451,8.214322106423408,6.798125267028809,,,
172,-0.5396264919980422,-6.943134374826582,11.344878293168744,17.65467643737793,,,
