iteration,loss_generator,loss_discriminator,grad_mag_generator,grad_mag_discriminator
0,3.2981129369936886,-3.338658086729046,12.147578382256027,10.466279983520508
1,6.53550730796918,-6.748487502966449,27.21182899810483,5.894320011138916
2,5.423655668438645,-6.419994038374787,24.809395342252543,3.8714985847473145
3,4.499824732905575,-5.868544415792906,23.034886189309336,3.9591176509857178
4,3.011567447614201,-5.521351483497278,18.092626482420396,3.7606678009033203
5,1.3840477934532074,-5.126378663215687,10.919249380465597,2.7942404747009277
6,1.0745034553441621,-4.848423333720886,9.81792964748985,3.6334426403045654
7,1.9446470171165937,-5.117027196004486,25.70603132457171,2.924605131149292
8,0.49682235758547405,-4.5948774173169555,9.169611530801586,3.617875099182129
9,0.18096815066219632,-4.454288427796605,16.76873637230367,2.424490451812744
10,0.7776822445609067,-4.5471859152027285,20.69948589939409,7.365461826324463
11,0.1829294089245444,-4.469674708780244,10.02258784413941,7.247337341308594
12,-0.07774827179229006,-4.479077123274053,7.88590628302181,2.339446544647217
13,-0.16907034736579052,-4.286129821844213,7.302596730978672,2.6532199382781982
14,0.09665381113142472,-4.21647104576768,6.314755935573699,6.998917579650879
15,0.10156872115676091,-4.03029914738388,4.026343322949562,5.860938549041748
16,-0.6479524568699515,-4.449712236786855,4.829643922168542,2.7120604515075684
17,-0.2792474180904336,-4.272917947563136,4.630203032077252,2.3185036182403564
18,-0.29671829808480416,-4.381507168331332,5.378826186847746,3.7042312622070312
19,-0.13130462028860768,-4.2526511245611065,4.111183836495725,4.433104515075684
20,0.3818806508021607,-4.073521355305883,9.350622292405703,3.386317253112793
21,-0.055750793601942225,-4.188876244392499,7.397337280671046,4.282118797302246
22,-0.14871639336643505,-4.156496709817346,5.164529325638442,3.1227610111236572
23,-0.3247457516324004,-4.225978131126284,9.43022950946688,3.5062808990478516
24,-0.5294796938506026,-4.331139017867325,6.3325386095448986,3.6824727058410645
25,0.3343333559057108,-4.178932273853367,9.301308332191438,4.273281574249268
26,0.2162212663093223,-4.049730643938333,10.847546874481262,3.8499603271484375
27,-0.16874313045396175,-4.115273437252936,15.592686637869775,4.939352035522461
28,-0.10661498137075567,-4.371053162078991,15.778248150191104,4.194916248321533
29,-0.22672828161236022,-4.018371259736369,8.037478802050153,4.7907609939575195
30,1.0014291850237242,-4.258175518940435,32.77171880726747,3.3330769538879395
31,-0.5063747532631742,-4.115499199815215,14.145258978335939,1.9014571905136108
32,-0.40119946357848096,-4.101891768941142,16.241138504694767,2.3803675174713135
33,-0.2152053612605574,-3.618803227858246,8.840447171656677,3.123152732849121
34,-0.20298814743679133,-3.95819848517304,17.549008724390188,4.526681900024414
35,-0.24705234179211283,-3.877032657671793,15.067201599731433,2.7956621646881104
36,-0.3980352754296307,-3.9750508246934135,10.311159746894164,4.159213542938232
37,-0.6270135165087778,-4.291895878584161,8.070642963061374,2.740921974182129
38,-0.369386254835974,-4.035844581369457,11.180955421515064,1.7688539028167725
39,-0.550327607137626,-3.8134522071450916,7.549573870894641,4.954059600830078
40,-0.6297046411783567,-3.720852226023162,11.324162554959239,4.269940376281738
41,-0.28685687530223175,-4.038440119642483,12.78373071319454,3.0263431072235107
42,-0.6680465703129128,-3.9437367786757185,11.899326000418755,3.2878522872924805
43,-0.3256376967740415,-4.255366618618753,13.775873176732096,1.8588191270828247
44,-0.6339920951441868,-3.9729855094318403,12.416114892780433,2.4028170108795166
45,0.3906769098677556,-3.948868531062998,18.906440523073925,4.235623836517334
46,-0.17202953503527785,-3.9678125588961968,16.275967217802034,3.371568441390991
47,-0.1928878816968705,-3.818165365434243,18.23224293547735,3.2049002647399902
48,-0.6356728968265306,-4.115400290344671,17.524200141666984,3.0159106254577637
49,-0.6260942696955197,-3.779010201738123,12.996359724481044,2.2648024559020996
50,-0.9375337667537095,-3.850074473565456,10.073170741771717,2.6024303436279297
51,-0.33699658555421513,-3.7447558891763695,12.659466152756318,4.074368476867676
52,-0.7767557059082403,-4.016886595983462,12.258156931310099,6.391694068908691
53,0.06827420564565886,-3.805177258043111,13.348784974098708,2.328767776489258
54,-0.495716618357386,-3.788936365708464,10.258708154614059,2.988781452178955
55,-0.701796700474808,-3.7861289971217222,4.281250238603401,2.4086251258850098
56,-0.4077397446600962,-3.718212181952027,8.862662265463317,4.234909534454346
57,-0.7237273159253248,-3.9795063178840753,9.96763139806575,4.418405532836914
58,-0.7683010856612644,-3.6664121489458683,8.279940494553781,4.6848955154418945
59,-0.46307622340209276,-3.9395831123121305,13.019999796015048,2.31980562210083
60,-0.4430475449652742,-3.578827856972351,12.405479887306669,2.7569823265075684
61,-0.77405176456346,-3.7205640227446715,15.267681132688518,4.920483112335205
62,-1.2057671911312065,-3.7828917081512192,8.637172311206198,3.1961123943328857
63,-0.35382381843092303,-3.633192282749514,13.744062611420432,3.1130688190460205
64,-0.6603460141630734,-3.6980255063995586,14.054212025879497,1.980432152748108
65,-0.6299361081165333,-3.7602627396036525,6.646808658880045,2.3012382984161377
66,0.17982583302133615,-3.7502215362301183,27.268747341823623,2.528252601623535
67,-0.980779295647108,-3.930323468882382,17.940749766086146,2.5282013416290283
68,-1.0327673413718663,-3.8612562146233427,14.905803296486805,2.6737985610961914
69,-0.5738036092950225,-3.6761955329073963,11.142204331537053,3.323404550552368
70,-0.8528535129148254,-3.6954351071729086,6.04035153706942,2.9902379512786865
71,-0.5054625124589651,-3.581079111168205,10.193647416430025,2.1667613983154297
72,-0.6430711855201199,-3.451218609722908,8.507915628778802,5.5883283615112305
73,-0.8410902912320795,-3.348866645862561,7.529678885359197,2.2894415855407715
74,-1.0038122524127533,-3.5281697379971964,9.36594277385396,4.044672012329102
75,-1.1057986933574666,-3.5660176695502113,12.16386247442181,1.933369517326355
76,-1.0821353843356938,-3.597763142977519,12.20854637414241,2.8677334785461426
77,-0.8587013942491951,-3.3450401084753505,9.494255336849578,6.188605785369873
78,-1.376293761784769,-3.5761913607281572,10.672760695000825,3.087656259536743
79,-0.9235284601548215,-3.697255918951437,18.467940527341344,3.306229591369629
80,-1.215871600321416,-3.5678186329594643,19.732579337185893,3.7838666439056396
81,-0.6144247546247483,-3.511464830262837,18.41713713086082,2.7745766639709473
82,-0.9192111911836841,-3.2880015340259363,11.390334596296247,3.4882333278656006
83,-1.309502431184746,-3.710922119889128,12.238824883844,4.107048988342285
84,-0.4593926626416287,-3.635727778020579,12.91381248085654,3.7820441722869873
85,-0.5547364694196599,-3.719911151825655,6.401299981797138,4.955318450927734
86,-0.6084970968043503,-3.334699312056665,11.651158853641771,2.1647188663482666
87,-1.1623772405889117,-3.594390676826964,18.594279942423285,2.157776117324829
88,-0.743668950687135,-3.7251134657962615,20.16971801983288,2.214423656463623
89,-1.135958287515911,-3.5652549620700844,10.270433631201618,1.6896677017211914
90,-1.0140089826604353,-3.608287141831398,16.114714472519598,3.282883882522583
91,-0.9879090034645208,-3.7553163167243637,15.419833453392487,3.9711923599243164
92,-0.3774009872355113,-3.5933182770651597,11.644080287069688,3.203986406326294
93,-1.0245781287379434,-3.6682148915621156,11.827629846788632,1.9303524494171143
94,-0.9971195081923784,-3.731465146599482,7.539806756038588,4.2740888595581055
95,-0.3937142149436846,-3.4516531819081697,14.857421645714107,3.5046193599700928
96,-0.9668409477640609,-3.55349517886094,10.742938208491134,2.746962308883667
97,-0.7273795429576491,-3.4584853877210433,7.835242335488972,2.8910470008850098
98,-1.0259677363651858,-3.5764723814895616,5.28086239503764,2.883175849914551
99,-0.8120454091401174,-3.324762568998687,5.278573433259835,4.132859230041504
100,-1.1864179021871624,-3.5652602335004797,9.62072514793375,2.9700686931610107
101,-0.9479984643759554,-3.527033705081006,13.911395199477042,4.2400922775268555
102,-1.1791213784907484,-3.4533372650167564,11.716915480686657,2.6000354290008545
103,-1.2022361284184364,-3.4432297583482288,6.350210645141652,2.2620906829833984
104,-0.6022631173934156,-3.4273525916702225,10.902095053743837,2.0453367233276367
105,-0.9500349988258017,-3.453972289078698,15.75991418899747,3.654193639755249
106,-1.2238236710533716,-3.5577640647989646,13.136880213659092,2.312380790710449
107,-0.9346552629358502,-3.2590004617663655,10.823195556761439,2.046830177307129
108,-1.0251673553350633,-3.433342465003322,14.695324004891628,4.414534091949463
109,-0.9616861612733625,-3.5098926521145506,8.279930099798774,2.619316577911377
