iteration,loss_generator,loss_discriminator,grad_mag_generator,grad_mag_discriminator
0,-0.22489132630673755,-4.403161118967384,0.44522433361704855,5.756896018981934
1,-0.42944422194964293,-4.639936632152384,0.6364831776817491,6.847213268280029
2,-0.2962579061192655,-4.648341330897049,0.5719408865848308,13.289846420288086
3,-0.4615161653401315,-4.664905582375533,0.6016068652253715,10.89619255065918
4,-0.48050633877179594,-4.361514015916045,0.6491963051971864,11.996740341186523
5,-0.28210962851473187,-4.290451089880261,0.6588304317379544,13.238282203674316
6,-0.6910887129806649,-4.608364758827656,0.8375600687441102,9.080231666564941
7,-0.9091524440726623,-4.80175345682078,1.0023211275468928,9.286250114440918
8,-0.7922855497895461,-4.689323375663961,0.8875946857368092,5.604576110839844
9,-0.7887644403542496,-4.800022361495506,0.902148303857788,5.549582481384277
10,-0.2155523446645069,-4.284505458723714,0.6729468994468508,8.13466739654541
11,-0.35653940124501504,-4.328578606141962,0.8932510634874479,7.384924411773682
12,-0.6584959388318101,-4.354351840167016,0.6686827130239861,8.66744613647461
13,-0.7361475640844162,-4.301037128921885,1.284392039116695,5.476985454559326
14,-0.40052835497147354,-3.929961215082022,1.0752606079880165,9.18091106414795
15,-1.0352179093065756,-4.43584252869888,0.6930975002189331,5.959545612335205
16,-1.25613776832957,-4.485122029627762,0.8125827127536318,6.233363151550293
17,-0.7557507382846093,-4.483113038542092,0.7355984045609545,2.1826281547546387
18,-0.5705223428915736,-4.181064180333591,0.7895229551375159,7.286471843719482
19,-0.47638852352579103,-4.20201007702143,0.7671737059468082,3.742488384246826
20,-0.8341487289498262,-4.2315984617079305,0.7909682557783808,1.8010897636413574
21,-0.42941064710578924,-4.1116890929658325,0.6265544207430642,2.884877920150757
22,-0.013657292204682593,-3.8958829579175633,0.8355191883536888,9.05854320526123
23,-0.6899029080630881,-3.914594280369677,0.6315103685771063,3.691638469696045
24,-0.8136645665982003,-3.993805798627866,0.9437841977522158,5.566983699798584
25,-0.22225499495055798,-3.8981590171573077,0.8867314010872863,6.580106735229492
26,-0.8477529583970014,-4.1881355365539,0.9156577653310576,2.3575682640075684
27,-0.47718072847979576,-4.027192171817274,0.6383479936722752,4.082402229309082
28,0.043545835687950195,-3.8960052362589854,0.8607766397903878,6.620928764343262
29,-0.8299464948091264,-3.8815159863009105,0.855623922182137,2.752267599105835
30,-0.39217253081920533,-3.8168035786208874,0.6705950828357092,3.9615492820739746
31,-0.24597648764440933,-3.7450782099376645,0.8701059464458055,1.8361202478408813
32,-0.8139057217076184,-3.8791732222909396,1.1047998340506229,1.7776755094528198
33,-0.4824764449250699,-3.6452609083450147,0.6548500719333847,7.344499111175537
34,0.051778278966927285,-3.654996327638569,0.930377505390756,2.9704887866973877
35,-0.4670505368557011,-3.618069959127326,0.7484400496826918,2.7131640911102295
36,-0.34954583466526223,-3.6208550408822204,0.6804173756954194,7.62853479385376
37,-1.2775975954292167,-3.711592148468233,1.4932567292290426,5.821621417999268
38,0.34017117991756235,-3.5767464014044017,1.5074514912215844,5.302294731140137
39,-0.3014353691964932,-3.600545168826402,1.082414294036429,5.699659824371338
40,-0.7788852894512379,-3.578735140319482,1.1570853832732133,6.082708358764648
41,-0.4336866890621133,-3.4130445432574215,1.1631070816866824,6.790194511413574
42,-0.074619693048062,-3.5573714446286697,0.6371346681143587,2.2186524868011475
43,-0.18217194669329892,-3.5266816840798283,0.773036491370997,2.019443988800049
44,-0.4421183093247477,-3.5388886756585385,0.7219056799787663,3.8697292804718018
45,-0.2686241526921899,-3.4345691473501088,0.7308958721447423,5.984729290008545
46,-0.47370761749960527,-3.4451102828353353,0.7479655097838314,5.171034812927246
47,-0.8222955851196385,-3.580229076417086,1.072576301827426,2.5804240703582764
48,-0.20246151332606907,-3.5336952457364723,1.2893326246773433,4.879858016967773
49,-0.7349304955678171,-3.624543995351728,0.7148454831663805,2.8074119091033936
50,-1.0545585890807214,-3.4585331205692826,1.0341398479108732,4.39478874206543
51,0.007928663843657473,-3.256055544555703,1.3513478613207561,7.9428300857543945
52,-0.3026732728143502,-3.4322268393977122,0.833548068036191,6.569889068603516
53,-0.42660134390934584,-3.187241068702243,0.5065844301908091,8.899710655212402
54,-1.0012140445009416,-3.4344277624185384,1.047118954356637,2.7912447452545166
55,-0.6431715952139654,-3.426897763156619,1.0609881108783343,4.436864852905273
56,-0.47328666032502925,-3.357373856531674,0.624403943766535,9.883269309997559
57,-0.5943627159916135,-3.4893728173738414,1.0741930324734201,4.195961952209473
58,0.32210440591649847,-3.4854175175590543,1.499025205375749,4.708190441131592
59,-0.503436237598232,-3.40892496785586,0.511611111974262,4.20809268951416
60,-0.8778792304010059,-3.465223676790654,0.946543960730569,3.1717989444732666
61,-0.30858246356556795,-3.471841915990315,1.1927270547764042,5.946938991546631
62,-0.8929125204576369,-3.38551889442525,0.9162254768096251,4.254470348358154
63,-0.5165320718203903,-3.4925295743988487,0.5700555441725044,5.063480854034424
64,0.2930842168955103,-3.3539004667831946,1.0228851395740388,4.621801376342773
65,-0.08627715405696518,-3.444329349166771,0.814331184260036,4.159168243408203
66,-0.7264482655972728,-3.210974143091181,0.502673701573062,8.685471534729004
67,-0.43840614592986493,-3.2471715434472044,0.7117176010000713,4.622567176818848
68,-0.7697744748161356,-3.297579862435592,0.6689167738980114,3.796743631362915
69,0.013149869236638329,-3.2462904911879455,0.9085132067552533,8.751965522766113
70,0.009916168882598334,-3.3857058971205998,0.8551256961386793,5.948989391326904
71,-0.4708254324398801,-3.3901783492128885,0.48249869623037633,4.009350776672363
72,-0.8520899438697864,-3.365849807466171,0.9406034143849674,3.3790159225463867
73,-0.5950215659851101,-3.1559581481497867,0.9196735443951743,6.238490104675293
74,0.04861840103566827,-3.3106487888049814,0.7722490929564525,4.519767761230469
75,-0.27484221213186405,-3.25450706916001,0.5646140536263016,2.199800968170166
76,0.19143333955896902,-3.3280325790244714,0.6256508800633701,6.14933967590332
77,-0.7516110569015904,-3.2955460822039653,0.5816964476659212,3.529745578765869
78,-0.8205369152135671,-3.4806839401779235,0.9739387828243472,3.500465154647827
79,0.07739132698734313,-3.264190735330421,0.8242964179070104,6.934775352478027
80,-0.05579602903324669,-3.273714873129061,1.03396079838974,6.634281158447266
81,-0.11321464462857059,-3.274254487062185,0.9756024780269554,2.3881356716156006
82,0.1463210313816919,-3.2174110577870327,0.594350090031529,5.514822483062744
